entityID,entityType
21714980,Organism
29610849,Organism
29610851,Organism
26462265,Organism
1906948,Organism
10599395,Organism
21176824,Organism
29211836,Organism
23825198,cultural object
10007944,StillImage
10007945,StillImage
10203450,StillImage
10207228,StillImage
10207229,StillImage
10207231,StillImage
10207232,StillImage
10207233,StillImage
10212653,StillImage
10257326,StillImage
10257327,StillImage
10312509,StillImage
10312514,StillImage
10312517,StillImage
10312522,StillImage
10312545,StillImage
10312720,StillImage
10312721,StillImage
10312722,StillImage
10312723,StillImage
10312764,StillImage
10313319,StillImage
10470991,StillImage
10604438,StillImage
10604439,StillImage
21714984,MaterialEntity
21714981,MaterialEntity
21714982,MaterialEntity
21714983,MaterialEntity
21714985,MaterialEntity
21714986,MaterialEntity
21714987,MaterialEntity
29610850,MaterialEntity
29610852,MaterialEntity
26462266,MaterialEntity
29610848,MaterialEntity
27237942,MaterialEntity
1906949,MaterialEntity
1906951,MaterialEntity
2147317,MaterialEntity
2147316,MaterialEntity
2147315,MaterialEntity
2782031,MaterialEntity
1906950,MaterialEntity
2147319,MaterialEntity
27249945,MaterialEntity
2147318,MaterialEntity
3002162,MaterialEntity
27237943,MaterialEntity
21261239,MaterialEntity
21176825,MaterialEntity
29226084,MaterialEntity
23825199,MaterialEntity
23825200,MaterialEntity