entityID,agentID,entityAgentRole,entityAgentRoleBegan,entityAgentRoleEnded,entityAgentRoleOrder
21714980,796,collector,,,1
21714980,796,preparator,,,2
29610849,796,collector,,,1
29610849,796,preparator,,,2
29610851,796,collector,,,1
29610851,796,preparator,,,2
26462265,796,collector,,,1
26462265,796,preparator,,,2
26462265,21308659,preparator,,,3
26462265,21258197,preparator,,,4
1906948,690,preparator,,,2
1906948,21256035,collector,,,1
1906948,690,collector,,,3
10599395,10001736,collector,,,1
21176824,10013287,collector,,,1
21176824,10012483,preparator,,,2
29211836,21320856,collector,,,1
23825198,21279036,creator,,,1
23825198,21279994,collector,,,4
10257327,21247870,creator,,,1
10604439,21320362,creator,,,1
10212653,21247614,creator,,,1
10212653,21252351,creator,,,2
10257326,21247870,creator,,,1
10007944,10001736,creator,,,1
10604438,21320362,creator,,,1