entityID,entityAssertionType,entityAssertionValue,entityAssertionValueNumeric,entityAssertionUnit,entityAssertionByAgentID,entityAssertionDate,entityAssertionProtocol,entityAssertionRemarks
21714980,ear from notch,20,20,mm,796,2007-09-27,,
21714980,hind foot with claw,32,32,mm,796,2007-09-27,,
21714980,reproductive data,testes: 3x2 mm (abdominal),,,796,2007-09-27,,
21714980,sex,male,,,796,2007-09-27,,
21714980,tail length,105,105,mm,796,2007-09-27,,
21714980,total length,220,220,mm,796,2007-09-27,,
21714980,weight,43.1,43.1,g,796,2007-09-27,,
21714980,ectoparasite examination,yes,,,796,2007-09-27,,
21714980,ectoparasites detected,yes,,,796,2007-09-27,,
21714980,endoparasite examination,yes,,,796,2007-09-27,,
21714980,endoparasites detected,no,,,796,2015,,
29610849,sex,female,,,4446,2015,,
29610849,sex,male,,,4446,2015,,
29610849,age class,larva,,,4446,2015,,
29610849,age class,nymph,,,4446,2016,,
26462265,sex,male,,,21308659,1984-10-07,,
1906948,sex,male,,,690,1984-10-07,,
1906948,total length,246,246,mm,690,1984-10-07,,
1906948,tail length,123,123,mm,690,1984-10-07,,
1906948,hind foot with claw,27,27,mm,690,1984-10-07,,
1906948,ear from notch,24,24,mm,690,1984-10-07,,
1906948,weight,45,45,g,690,1984-10-07,,
1906948,reproductive data,T=11mm,,,690,2009-06-02,,
10599395,clutch size,2,2,,21247846,2009-05-28,original egg cards and data slips,
10599395,incubation stage,ready to hatch,,,21247846,2005-10-08,original egg cards and data slips,
21176824,age class,adult,,,10012483,2005-10-08,,
21176824,sex,female,,,10012483,2005-10-08,,
21176824,snout-vent length,57.5,57.5,mm,10012483,2005-10-08,,
21176824,tail length,59.9,59.9,mm,10012483,2005-10-08,,